Timestamp,Type,Amount,Exchange Buy,Price Buy,Exchange Sell,Price Sell,Profit
1594385481321,BCH,11.52,Coinbase,237.23,Binance,237.39,0.0937
1594385484243,ZRX,1600,Binance,0.4065,Coinbase,0.407339,0.9256
1594385485010,BCH,0.87,Coinbase,237.24,Binance,237.4,0.0071
1594385499154,ZRX,1981.5839,Binance,0.4064,Coinbase,0.406885,0.4453
1594385513886,LINK,197.5,Coinbase,5.78904,Binance,5.793,0.0502
1594385516048,LINK,190,Coinbase,5.79093,Binance,5.7951,0.0879
1594385517596,ZRX,4166.8916,Binance,0.4063,Coinbase,0.406594,0.1411
1594385521947,LINK,182.5,Coinbase,5.79273,Binance,5.7969,0.0843
1594385526894,LINK,7.92,Coinbase,5.793,Binance,5.797,0.0023
1594385548906,LINK,15.8534,Coinbase,5.79299,Binance,5.7976,0.0143
1594385553079,LINK,15.8534,Coinbase,5.79241,Binance,5.7981,0.0314
1594385556927,LINK,134.8456,Coinbase,5.7943,Binance,5.8025,0.6054
1594385641638,XLM,26366.25,Coinbase,0.084043,Binance,0.0841,0.0843
1594385673338,ZRX,4347.7344,Binance,0.4061,Coinbase,0.406792,1.8774
1594385677123,LTC,9.3,Coinbase,44.09,Binance,44.12,0.0165
1594385678397,LINK,57.2,Coinbase,5.79411,Binance,5.7984,0.0332
1594385695073,ZRX,3897.8726,Binance,0.406,Coinbase,0.406528,1.0444
1594385709321,LINK,390.5,Coinbase,5.79623,Binance,5.8006,0.2575
1594385738487,ZRX,860,Binance,0.4059,Coinbase,0.40654,0.3268
1594385747032,ZRX,2855.853,Binance,0.4058,Coinbase,0.406574,1.4678
1594385765448,DASH,9.17826,Coinbase,70.731,Binance,70.78,0.0341
1594385770244,ZRX,1097.4267,Binance,0.4056,Coinbase,0.406343,0.5302
1594385782377,ZRX,3718.5688,Binance,0.4055,Coinbase,0.406344,2.1722
1594385816611,DASH,3.8391,Coinbase,70.718,Binance,70.86,0.3713
1594385843627,DASH,3.1,Coinbase,70.869,Binance,70.92,0.0175
1594385856204,ZRX,3267.1008,Binance,0.4051,Coinbase,0.405741,1.2463
1594385865207,ZRX,1310.6326,Binance,0.4044,Coinbase,0.405195,0.7023
1594385867648,DASH,4.85,Coinbase,70.923,Binance,70.97,0.0078
1594385913071,ZRX,713.8215,Binance,0.4063,Coinbase,0.407132,0.408
1594385918241,ZRX,545.0112,Binance,0.4064,Coinbase,0.407056,0.2156
1594385922021,ZRX,22.1859,Binance,0.4061,Coinbase,0.407054,0.0154
1594385926007,ZRX,1820,Binance,0.4063,Coinbase,0.406783,0.4055
1594385928994,ZRX,947.31,Binance,0.4058,Coinbase,0.406489,0.4064
1594385930333,EOS,26.197,Coinbase,2.606,Binance,2.6082,0.0139
1594385941008,EOS,1850,Coinbase,2.607,Binance,2.6087,0.0576
1594385956446,ZRX,1088.2116,Binance,0.4056,Coinbase,0.405962,0.1113
1594385980487,ZRX,1757.7972,Binance,0.4058,Coinbase,0.406084,0.0425
1594386005073,BCH,0.98164,Coinbase,237.17,Binance,237.39,0.0669
1594386012922,ZRX,874.44,Binance,0.406,Coinbase,0.406354,0.0822
1594386014266,ETH,0.001321,Coinbase,239.11,Binance,239.29,0
1594386016895,ATOM,4.62,Coinbase,3.778,Binance,3.781,0.0027
1594386019386,XLM,3537.6,Coinbase,0.084208,Binance,0.0843,0.1347
1594386020741,XTZ,6.7814,Coinbase,2.4545,Binance,2.4564,0.0022
1594386026071,BCH,15.3,Coinbase,237.4,Binance,237.56,0.1228
1594386027426,ZRX,66.204,Binance,0.4069,Coinbase,0.407445,0.0188
1594386031927,ZRX,104.7662,Binance,0.4074,Coinbase,0.407873,0.0222
1594386033220,BCH,1.157394,Coinbase,237.4,Binance,237.56,0.0093
1594386034567,ZRX,1043.3025,Binance,0.4072,Coinbase,0.408039,0.6031
1594386035916,BCH,4.75,Coinbase,237.38,Binance,237.56,0.1332
1594386038202,BTC,0.001741,Coinbase,9189.96,Binance,9197.59,0.003
1594386043081,BCH,17.82,Coinbase,237.39,Binance,237.55,0.1431
1594386045967,ZRX,25.125,Binance,0.4075,Coinbase,0.408102,0.0086
1594386047331,BCH,3.05,Coinbase,237.36,Binance,237.53,0.055
1594386047335,ETH,1.702312,Coinbase,239.24,Binance,239.4,0.0117
1594386053570,ETH,53.94,Coinbase,239.25,Binance,239.42,0.9083
1594386054872,BCH,0.814557,Coinbase,237.34,Binance,237.52,0.0229
1594386067037,DASH,0.014,Coinbase,71.084,Binance,71.14,0.0001
1594386068340,ZRX,814.8865,Binance,0.4081,Coinbase,0.408489,0.104
1594386070853,ETC,148.803743,Coinbase,6.37,Binance,6.3741,0.0033
1594386077539,ZRX,2622.2426,Binance,0.408,Coinbase,0.408525,0.6914
1594386086187,XLM,12.24,Coinbase,0.084527,Binance,0.0846,0.0002
1594386106832,ETC,18.3191,Coinbase,6.367,Binance,6.3715,0.0078
1594386131139,BCH,1.512566,Coinbase,237.49,Binance,237.66,0.0272
1594386136620,ETH,0.006853,Coinbase,239.2,Binance,239.38,0.0002
1594386137937,ZRX,45.136,Binance,0.4082,Coinbase,0.408643,0.0082
1594386149421,ZRX,2194.4266,Binance,0.4081,Coinbase,0.408729,0.8066
1594386158499,BCH,44.352855,Coinbase,237.5,Binance,237.68,1.24
1594386169619,ETH,1.36,Coinbase,239.31,Binance,239.48,0.0228
1594386170991,ZRX,993.0348,Binance,0.4082,Coinbase,0.408989,0.5238
1594386173622,ETH,1.78,Coinbase,239.33,Binance,239.51,0.0477
1594386175629,ETH,0.013742,Coinbase,239.36,Binance,239.57,0.0008
1594386176992,ZRX,817.7396,Binance,0.4083,Coinbase,0.409118,0.455
1594386180527,XTZ,1.7952,Coinbase,2.4584,Binance,2.46,0
1594386187276,ZRX,32.7712,Binance,0.4089,Coinbase,0.409412,0.0082
1594386195515,BCH,17.352899,Coinbase,237.64,Binance,237.8,0.1366
1594386201542,BCH,0.98,Coinbase,237.51,Binance,237.69,0.0274
1594386205163,ALGO,328.44,Coinbase,0.2398,Binance,0.24,0.0153
1594386206521,BCH,18.81,Coinbase,237.54,Binance,237.71,0.3373
1594386233306,ZRX,3379.8525,Binance,0.4088,Coinbase,0.409274,0.7171
1594386237714,DASH,0.0194,Coinbase,71.105,Binance,71.2,0.001
1594386242439,ZRX,844.2588,Binance,0.4087,Coinbase,0.409333,0.3134
1594386250486,ZRX,365,Binance,0.4086,Coinbase,0.409446,0.2132
1594386254543,BCH,16.92,Coinbase,237.65,Binance,237.84,0.6406
1594386265880,ALGO,676.03,Coinbase,0.2401,Binance,0.2405,0.1665
1594386269555,EOS,162,Coinbase,2.609,Binance,2.6115,0.1344
1594386281569,BCH,0.309416,Coinbase,237.59,Binance,237.75,0.0024
1594386283304,ZRX,435,Binance,0.4086,Coinbase,0.409508,0.2811
1594386285304,ZRX,1320,Binance,0.4077,Coinbase,0.408639,0.8946
1594386286662,BCH,22.648451,Coinbase,237.49,Binance,237.67,0.6333
1594386289297,ZRX,22.1859,Binance,0.4076,Coinbase,0.40804,0.004
1594386290662,ALGO,418.46,Coinbase,0.2402,Binance,0.2406,0.103
1594386301380,ZRX,7163.6319,Binance,0.4069,Coinbase,0.408041,6.3049
1594386328602,BCH,18.534284,Coinbase,237.48,Binance,237.64,0.1478
1594386352345,BCH,5.731536,Coinbase,237.48,Binance,237.65,0.103
1594386361357,BCH,3.329915,Coinbase,237.5,Binance,237.66,0.0265
1594386373512,ALGO,216.81,Coinbase,0.2404,Binance,0.2406,0.01
1594386376204,XRP,87150,Coinbase,0.1968,Binance,0.19703,9.063
1594386377642,BCH,3.15827,Coinbase,237.49,Binance,237.67,0.0883
1594386380360,BCH,1.338382,Coinbase,237.45,Binance,237.63,0.0375
1594386401440,BCH,1.776007,Coinbase,237.39,Binance,237.56,0.032
1594386415435,BCH,1.284974,Coinbase,237.38,Binance,237.54,0.0103
1594386432292,EOS,2517.57,Coinbase,2.609,Binance,2.6107,0.0751
1594386492984,ATOM,3.675,Coinbase,3.796,Binance,3.8,0.0058
1594386504166,LINK,52.65,Coinbase,5.81883,Binance,5.8247,0.1129
1594386572013,ATOM,1.104,Coinbase,3.798,Binance,3.801,0.0006
1594386649003,XLM,13860,Coinbase,0.08529,Binance,0.08537,0.352
1594386762311,ZRX,4336.896,Binance,0.4075,Coinbase,0.407821,0.2605
1594386769370,ZRX,1617.3881,Binance,0.4076,Coinbase,0.407884,0.0372
1594386788981,ZRX,3975.4352,Binance,0.4075,Coinbase,0.407813,0.207
1594386858771,ZRX,1990.1318,Binance,0.4083,Coinbase,0.4086,0.0768
1594387035031,XLM,3192.6,Coinbase,0.084863,Binance,0.08494,0.0724
1594387205516,ZRX,23.7897,Binance,0.4076,Coinbase,0.407894,0.0008
1594387210637,DASH,4.25,Coinbase,70.903,Binance,70.97,0.0918
1594387221350,ZRX,900.7454,Binance,0.4075,Coinbase,0.407877,0.1045
1594387273338,ZRX,1202.0736,Binance,0.4078,Coinbase,0.408283,0.2666
