Timestamp,Type,Amount,Exchange Buy,Price Buy,Exchange Sell,Price Sell,Profit
1594668656998,ETC,22.358797,Coinbase,6.325,Binance,6.3345,0.1218
1594668656996,BCH,1.199273,Coinbase,231.55,Binance,231.86,0.194
1594668658549,XLM,4125,Coinbase,0.088547,Binance,0.0901,6.1708
1594668658548,ZRX,1954.832587,Coinbase,0.401965,Binance,0.4025,0.5427
1594668658550,EOS,4768.704,Coinbase,2.578,Binance,2.5798,0.7136
1594668662890,LTC,346.630823,Coinbase,43.76,Binance,43.81,7.6195
1594668662890,XTZ,844.9168,Coinbase,2.8136,Binance,2.8185,2.6177
1594668662891,ETH,0.627392,Coinbase,237.88,Binance,238.15,0.0738
1594668662891,BCH,3.48154,Coinbase,231.66,Binance,231.81,0.0059
1594668662891,ETC,117.292981,Coinbase,6.323,Binance,6.3314,0.5104
1594668662892,XLM,3250,Coinbase,0.08798,Binance,0.09006,6.5754
1594668662892,ZRX,1480,Coinbase,0.401816,Binance,0.4024,0.4835
1594668662892,LINK,45.8472,Coinbase,7.01949,Binance,7.039,0.6883
1594668680079,XLM,6655.5,Coinbase,0.088886,Binance,0.09005,7.3665
1594668680079,ATOM,61.918,Coinbase,3.845,Binance,3.888,2.5095
1594668683103,EOS,6242.138,Coinbase,2.576,Binance,2.5788,7.1828
1594668687731,ALGO,7018.95,Coinbase,0.2687,Binance,0.2701,8.6171
1594668688734,ETC,132.214154,Coinbase,6.318,Binance,6.329,0.9194
1594668692543,LINK,150.88,Coinbase,7.02744,Binance,7.0442,1.8495
1594668692543,XLM,4000,Coinbase,0.08842,Binance,0.09002,6.1721
1594668698155,ATOM,85.8,Coinbase,3.838,Binance,3.886,3.9067
1594668698156,BCH,36.057206,Coinbase,230.48,Binance,231.83,43.3468
1594668704126,ETC,37.450871,Coinbase,6.303,Binance,6.3292,0.8299
1594668704127,XLM,4896.08,Coinbase,0.088236,Binance,0.09001,8.4071
1594668704127,EOS,703.395,Coinbase,2.557,Binance,2.579,14.3199
1594668704127,ZRX,448.1598,Coinbase,0.400302,Binance,0.4023,0.7804
1594668708141,BTC,0.033504,Coinbase,9197.03,Binance,9210.01,0.2376
1594668708142,ETH,5.260089,Coinbase,237.42,Binance,238.22,3.4078
1594668708142,LINK,78,Coinbase,6.9935,Binance,7.0437,3.5655
1594668713312,XLM,6673.4,Coinbase,0.087897,Binance,0.08981,12.3877
1594668713312,ETC,13.270203,Coinbase,6.266,Binance,6.328,0.7693
1594668713313,DASH,4.85,Coinbase,71.397,Binance,72.08,3.0901
1594668713312,EOS,2139,Coinbase,2.533,Binance,2.5791,95.1167
1594668713313,XRP,708.24,Coinbase,0.1951,Binance,0.19818,2.0924
1594668721019,ETH,63.622981,Coinbase,237.5,Binance,238.29,40.5794
1594668721020,BCH,4.676807,Coinbase,227.84,Binance,231.84,18.0208
1594668721019,LINK,860.344,Coinbase,6.96,Binance,7.0445,68.8493
1594668721020,XTZ,147.2,Coinbase,2.7833,Binance,2.813,4.1086
1594668730460,EOS,163.484,Coinbase,2.534,Binance,2.5795,7.1716
1594668730461,XRP,903.112488,Coinbase,0.1959,Binance,0.19824,1.9995
1594668730461,XLM,3630,Coinbase,0.088578,Binance,0.08979,4.1927
1594668730460,ETC,1171.433693,Coinbase,6.267,Binance,6.3303,69.4355
1594668737847,LINK,963.2285,Coinbase,6.99217,Binance,7.039,40.7867
1594668737848,LTC,7.709612,Coinbase,43.37,Binance,43.82,3.2545
1594668738819,XLM,4650,Coinbase,0.088831,Binance,0.08968,3.6825
1594668738819,BCH,0.3762,Coinbase,229.89,Binance,231.86,0.6856
1594668738819,ETC,17.25,Coinbase,6.307,Binance,6.3282,0.296
1594668745582,LINK,836.992,Coinbase,7.01198,Binance,7.0393,19.105
1594668745583,BCH,59.4,Coinbase,229.53,Binance,231.79,125.486
1594668745583,LTC,45.6,Coinbase,43.44,Binance,43.8,15.1443
1594668745583,EOS,71,Coinbase,2.546,Binance,2.5785,2.1913
1594668745584,BTC,0.01095,Binance,9210.67,Coinbase,9218.65,0.0228
1594668751377,XRP,1928.704132,Coinbase,0.1967,Binance,0.19823,2.7074
1594668751377,ETC,14.796229,Coinbase,6.299,Binance,6.328,0.3693
1594668751377,DASH,3.24935,Coinbase,71.52,Binance,72.07,1.638
1594668751378,LINK,201,Coinbase,7.01147,Binance,7.0341,3.6456
1594668762820,BCH,1.94685,Coinbase,229.31,Binance,231.8,4.5608
1594668762820,BTC,0.994,Binance,9209.46,Coinbase,9215.58,0.2222
1594668762821,XRP,3675.58,Coinbase,0.1961,Binance,0.19813,6.9983
1594668762821,XLM,2676.48,Coinbase,0.088852,Binance,0.08963,1.9296
1594668765322,ZRX,2993.564,Binance,0.4016,Coinbase,0.401937,0.239
1594668768909,OMG,225,Coinbase,1.5278,Binance,1.531,0.4998
1594668770488,BCH,10.8,Coinbase,229.37,Binance,231.81,24.7603
1594668770489,LINK,442.528,Coinbase,6.99964,Binance,7.0344,13.3962
1594668773758,XTZ,151.8,Coinbase,2.7987,Binance,2.8132,1.9287
